created_at,author_id,text,category,cleaned_text
2025-06-13 14:32:23+00:00,1489862481401028614,"@ItsMeHaileyG Happy Friday the 13th, Hailey!  Doctor visit then driving to the shore for quality wife time lol

Have a great weekend. Love ya! 💜",Health,happy friday the 13th hailey doctor visit then driving to the shore for quality wife time lol have a great weekend love ya
2025-06-13 14:32:23+00:00,1867670328195108864,"@Arakunrin_emma I eschew anything that will trigger my mental health. I only allow what I want to see and listen to. No relative, not a girl can pressure me into thinking I'm not doing good enough.",Health,i eschew anything that will trigger my mental health i only allow what i want to see and listen to no relative not a girl can pressure me into thinking im not doing good enough
2025-06-13 14:32:23+00:00,1454853594646134789,"i mean indians do full suppot saar thing but indian government's stance has always been ""two state solution"" . international governments don't act on the basis of feelings https://t.co/gNXZCjcyUZ",Politics,i mean indians do full suppot saar thing but indian governments stance has always been two state solution international governments dont act on the basis of feelings
2025-06-13 14:32:23+00:00,1933385487252926469,"🔥 The BIGGЕST #Сryрtо #РUMР Telegram channel is here! 

 🚀 Jоin the actiоn! ➡️ https://t.co/GzONZTOLmJ $ETH 

@LegitSounds1 @AMuhammad10715 @uberipuzo @Elfowa1 @Fud_doctor @NFTAngelhero @CursedClownsnft @ASHBELJACOB @Andrew2pm @Purplea06746907 0KDGon",Health,the biggеst сryрtо рumр telegram channel is here jоin the actiоn eth 0kdgon
2025-06-13 14:32:22+00:00,1741525102066307072,"@ShannonJoyRadio No, they were given a different vaccine 
All planned",Health,no they were given a different vaccine all planned
2025-06-13 14:32:22+00:00,1207549912805720065,"#Dicount Offer Get #LADodgers Vintage Logo Jacket.
Shop From https://t.co/thooSRmIEw
-------
#ootd #style #gift #fashion #DodgersLogo #Replica #patchwork #print #embroidery #Jacket #Winter #summer #clothing #partywear #Menswear #womensfashion #varsity #Jersey #baseballjersey #MLB https://t.co/8eeWeQ03BW",Fashion,dicount offer get ladodgers vintage logo jacket shop from ootd style gift fashion dodgerslogo replica patchwork print embroidery jacket winter summer clothing partywear menswear womensfashion varsity jersey baseballjersey mlb
2025-06-13 14:32:22+00:00,1195225940848037888,"@NOELreports the government spent 2 trillion of us tax payer money to develop the f35. us citizens get nothing but a crumbling country while we focus our efforts on ""defending"" israeli genocide",Politics,the government spent 2 trillion of us tax payer money to develop the f35 us citizens get nothing but a crumbling country while we focus our efforts on defending israeli genocide
2025-06-13 14:32:22+00:00,1804050021924618240,"One is given by the government and the other is given by the company.
You know which is which. https://t.co/csZUjh4UTW",Politics,one is given by the government and the other is given by the company you know which is which
2025-06-13 14:32:22+00:00,28504202,"Exquisite! Captivating! Elevate your style with The Shannon Double Pocket Leggings, available for a limited time at the incredible price of $49.95
https://t.co/e3fSHQC5Kc https://t.co/urHIfDT0bl",Fashion,exquisite captivating elevate your style with the shannon double pocket leggings available for a limited time at the incredible price of 4995
2025-06-13 14:32:22+00:00,1389964558459080704,"@howardlutnick - The Trump’s Government is completely correct by imposing tariffs! Why is there the GDP measured in Purchasing Power Parity ? To compare GDP of two or countries in a very much precision way . 
The Purchasing Power Parity equalise the purchasing power of different currencies, by",Politics,the trumps government is completely correct by imposing tariffs why is there the gdp measured in purchasing power parity to compare gdp of two or countries in a very much precision way the purchasing power parity equalise the purchasing power of different currencies by
2025-06-13 14:32:22+00:00,2255214175,@MdBreathe @Walgreens So pharmacists now practice medicine and run a gossip hotline to the state medical board? This isn't about patient safety; it's about enforcing ideological conformity on behalf of Big Pharma. The medical-industrial complex punishes any doctor who dares to think for themselves.,Health,so pharmacists now practice medicine and run a gossip hotline to the state medical board this isnt about patient safety its about enforcing ideological conformity on behalf of big pharma the medicalindustrial complex punishes any doctor who dares to think for themselves
2025-06-13 14:32:22+00:00,1742216744347824128,"@BasedPota18 Its more ""modern toriyama atr style""",Fashion,its more modern toriyama atr style
2025-06-13 14:32:22+00:00,1285074930376364033,Chat I just got a game that puts me in charge of a hospital! You trust me with your lives right? https://t.co/zOfjEj6HWx,Health,chat i just got a game that puts me in charge of a hospital you trust me with your lives right
2025-06-13 14:32:22+00:00,112741698,"@MikeJarmuz Get ready for the future of money! With the Trump government's interest in cryptocurrency, now's the time to learn about Bitcoin. Join @fxasofia cryptoprofxtrd channel  for insights and updates on the world of crypto.",Politics,get ready for the future of money with the trump governments interest in cryptocurrency nows the time to learn about bitcoin join cryptoprofxtrd channel for insights and updates on the world of crypto
2025-06-13 14:32:22+00:00,1521648067765800960,"@indyfor45th47th Yes. 
All it does, when specific demographics get their own months, days, holidays, etc...is create division.
The enemy of the people is the corrupt government and their media lap-dog...and the people who control all that.",Politics,yes all it does when specific demographics get their own months days holidays etcis create division the enemy of the people is the corrupt government and their media lapdogand the people who control all that
2025-06-13 14:32:22+00:00,230624509,"@BionicZebra_FTT @RebelACole @ABC They are given SSN's labeled ""for work only"" while they are trying to become legal permanent residents. Undocumented doesn't mean unknown, it means they haven't completed the process. The government gives them to them so they can work and pay taxes.",Politics,they are given ssns labeled for work only while they are trying to become legal permanent residents undocumented doesnt mean unknown it means they havent completed the process the government gives them to them so they can work and pay taxes
2025-06-13 14:32:22+00:00,4038058757,@ikulumawasliano No Reform NO Election,Politics,no reform no election
